epoch,loss,lr,mean_absolute_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,0.049989083103929674,0.001,0.19780056,0.22358239,0.04347456991672516,0.18368126,0.20850556
1,0.010360267805630591,0.001,0.08721058,0.1017854,0.010096288286149502,0.07457439,0.10048029
2,0.00549607961112473,0.001,0.060918648,0.07413554,0.05684628710150719,0.21394286,0.2384246
3,0.008281441711222947,0.001,0.07485963,0.09100243,0.0349033921957016,0.15949045,0.1868245
4,0.004502926715227308,0.001,0.054874487,0.067103855,0.009994150139391422,0.07411218,0.09997074
5,0.005087946632494198,0.001,0.057626467,0.07132985,0.016222869977355003,0.0997368,0.12736903
6,0.0035007814593382186,0.001,0.048139792,0.059167404,0.025582415983080864,0.13595456,0.15994504
7,0.003407375476976384,0.001,0.0479023,0.05837273,0.012034735642373562,0.08677498,0.109702945
8,0.002425293273738362,0.001,0.039487727,0.049247265,0.004268816206604242,0.049790822,0.065336175
9,0.0020588296176876388,0.001,0.03601672,0.045374326,0.007099952548742294,0.06684765,0.084261216
10,0.0019110636057195294,0.001,0.034929015,0.04371571,0.003620508126914501,0.04758736,0.060170658
11,0.0017569958623691144,0.001,0.032752413,0.041916534,0.001966019393876195,0.03683288,0.044339817
12,0.0017736801734872067,0.001,0.032969885,0.04211508,0.003386847209185362,0.046611045,0.058196627
13,0.0017879800625085556,0.001,0.03325635,0.042284515,0.0023244484327733517,0.039378334,0.048212536
14,0.001710854540899798,0.001,0.03230357,0.04136248,0.002966200700029731,0.04337157,0.05446284
15,0.0016611272983208093,0.001,0.032164674,0.04075693,0.004254866857081652,0.051165305,0.06522934
16,0.001634901927583065,0.001,0.03188341,0.04043392,0.0031992655713111162,0.044480395,0.05656205
17,0.00165245189902455,0.001,0.031959362,0.04065036,0.004313063807785511,0.051325016,0.06567392
18,0.0016515908548159334,0.001,0.032231946,0.04063977,0.00408094422891736,0.050010778,0.06388227
19,0.0016362132928542683,0.001,0.03191288,0.040450133,0.003358118236064911,0.045587167,0.057949275
20,0.0016070280941021464,0.001,0.03170381,0.040087752,0.003702993970364332,0.04792599,0.06085223
21,0.0015944340496177514,0.001,0.031446293,0.039930366,0.002960219979286194,0.04323809,0.054407902
