epoch,loss,lr,mean_absolute_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,0.17758877967866477,0.001,0.35625845,0.42141286,0.09893658012151718,0.3051562,0.31454185
1,0.05636789710810859,0.001,0.17998052,0.23741925,0.05069582909345627,0.21178128,0.22515735
2,0.046045479229386316,0.001,0.18964498,0.2145821,0.0063647497445344925,0.065820016,0.07977938
3,0.01723416078876872,0.001,0.11016464,0.13127893,0.021875616163015366,0.13099594,0.14790408
4,0.028864719575000395,0.001,0.12809382,0.1698962,0.018153144046664238,0.11752164,0.1347336
5,0.021918747313763746,0.001,0.11490183,0.14804982,0.0049532377161085606,0.05699155,0.07037924
6,0.014922165002487124,0.001,0.10401771,0.122156315,0.013217884115874767,0.09780621,0.11496906
7,0.016844468336859392,0.001,0.10933336,0.12978624,0.006129070650786161,0.065406546,0.078288384
8,0.011832863022790891,0.001,0.09102462,0.10877896,0.006198174320161343,0.06257726,0.07872848
9,0.012430918392683352,0.001,0.08930374,0.11149403,0.005840738769620657,0.060294785,0.076424725
10,0.010659562424616532,0.001,0.08329521,0.10324516,0.0066980342380702496,0.06875558,0.08184152
11,0.009961100973302819,0.001,0.08078188,0.09980531,0.009335862472653389,0.08188856,0.096622266
12,0.009983438796687399,0.001,0.0797766,0.09991716,0.005764877889305353,0.06308623,0.075926796
13,0.009673090988711573,0.001,0.077900745,0.09835187,0.0058302199468016624,0.06068401,0.076355875
14,0.009980815851280724,0.001,0.07897134,0.09990403,0.006239790003746748,0.06609046,0.078992344
15,0.00952757310799577,0.001,0.077498175,0.09760928,0.008047029376029968,0.075709395,0.089705236
16,0.009459610117683242,0.001,0.07746892,0.09726053,0.005616873502731323,0.06221154,0.07494581
17,0.00924895526865021,0.001,0.076834194,0.09617149,0.005322094075381756,0.059430886,0.07295268
18,0.009161741699874654,0.001,0.07671811,0.09571699,0.005951954983174801,0.06463979,0.077148914
19,0.008965128629975585,0.001,0.07677872,0.09468436,0.006318577565252781,0.0667074,0.079489484
20,0.008874991450525232,0.001,0.076641776,0.09420717,0.005289949011057615,0.06039319,0.07273204
21,0.00880407682915132,0.001,0.07605027,0.09383004,0.0050953226163983345,0.058713946,0.07138153
22,0.00875656688846996,0.001,0.07575037,0.09357653,0.005644847638905048,0.0628963,0.0751322
23,0.008601943669506779,0.001,0.07540498,0.09274667,0.006108672358095646,0.065531574,0.078158
24,0.008587562710920328,0.001,0.07511356,0.09266911,0.005415391176939011,0.061375964,0.07358934
25,0.00842189008509305,0.001,0.07413529,0.09177085,0.005121448542922735,0.059020568,0.071564294
26,0.008355119085998078,0.001,0.07365497,0.09140634,0.00526939332485199,0.060322594,0.07259059
27,0.00822032895413945,0.001,0.07311209,0.09066603,0.005441918503493071,0.06154116,0.07376936
28,0.008130077822189288,0.001,0.072713554,0.09016695,0.005169803276658058,0.05968095,0.071901344
29,0.007998867830801233,0.001,0.07219374,0.0894364,0.005094520282000303,0.059210207,0.07137591
30,0.007863277043219886,0.001,0.0716606,0.08867513,0.004882321693003178,0.057597958,0.06987361
31,0.007744299444095402,0.001,0.07122292,0.088001706,0.004894655663520098,0.05786183,0.069961816
32,0.007614950682277915,0.001,0.07069624,0.08726368,0.004874738864600658,0.057818007,0.06981933
33,0.007554856094966121,0.001,0.07045948,0.086918674,0.004686292726546526,0.05633509,0.0684565
34,0.007424815700720986,0.001,0.06928419,0.08616737,0.004311670549213886,0.052284744,0.065663315
35,0.00715396751015872,0.001,0.06853245,0.08458113,0.005255470052361488,0.06060414,0.07249462
36,0.006986159507261182,0.001,0.06817594,0.08358325,0.004146157763898373,0.050517526,0.06439067
37,0.007012715546561432,0.001,0.06762731,0.083741955,0.004882417153567076,0.058338724,0.069874294
38,0.006733065394300116,0.001,0.06696529,0.082055256,0.003973942715674639,0.04928993,0.06303921
39,0.006681183777581789,0.001,0.066205285,0.08173851,0.004160887561738491,0.052482784,0.064504944
40,0.0061849347231062975,0.001,0.064158395,0.07864436,0.003795430064201355,0.048662584,0.061607063
41,0.006092157111223866,0.001,0.06401967,0.078052275,0.004334866534918547,0.05434323,0.0658397
42,0.0059952538554654,0.001,0.06315544,0.07742903,0.0047461711801588535,0.05777169,0.068892464
43,0.006052622297017526,0.001,0.06270554,0.077798605,0.003886957187205553,0.048862908,0.062345468
44,0.0058466782468982745,0.001,0.0619707,0.07646357,0.005580429919064045,0.063746706,0.07470228
