,0
0,251.5
1,253.300003
2,253.699997
3,243.699997
4,249.399994
5,252.0
6,253.600006
7,259.5
8,256.700012
9,253.199997
10,250.0
11,246.399994
12,243.899994
13,240.300003
14,239.399994
15,236.199997
16,237.5
17,243.199997
18,247.699997
19,237.699997
20,236.399994
21,236.600006
22,236.5
23,231.300003
24,231.5
25,232.600006
26,228.199997
27,227.300003
28,229.0
29,223.800003
30,222.0
31,215.300003
32,219.199997
33,221.800003
34,216.5
35,217.600006
36,217.5
37,216.5
38,219.300003
39,222.100006
40,222.699997
41,231.800003
42,229.0
43,237.0
44,245.800003
45,241.399994
46,238.300003
47,233.300003
48,224.0
49,226.100006
50,222.699997
51,227.100006
52,226.600006
53,230.100006
54,229.699997
55,224.0
56,225.300003
57,225.399994
58,223.0
59,225.100006
60,225.199997
61,226.100006
62,226.199997
63,219.300003
64,218.199997
65,218.199997
66,219.5
67,223.300003
68,222.100006
69,222.5
70,219.399994
71,218.699997
72,216.399994
73,211.800003
74,206.399994
75,207.199997
76,208.300003
77,204.300003
78,208.300003
79,207.399994
80,214.100006
81,215.5
82,215.0
83,223.399994
84,217.899994
85,210.899994
86,208.5
87,235.800003
88,240.5
89,246.800003
90,238.5
91,241.199997
92,246.699997
93,244.0
94,237.899994
95,238.199997
96,234.800003
97,234.800003
98,227.199997
99,226.199997
100,221.399994
101,222.199997
102,222.800003
103,220.300003
104,218.100006
105,220.0
106,214.899994
107,206.0
108,208.199997
109,207.199997
110,207.199997
111,207.399994
112,205.800003
113,208.399994
114,206.300003
115,208.0
116,205.5
117,197.5
118,206.0
119,198.600006
120,195.600006
121,195.0
122,189.600006
123,185.699997
124,187.199997
125,184.600006
126,205.199997
127,206.800003
128,211.399994
129,202.800003
130,202.899994
131,202.600006
132,207.800003
133,212.199997
134,215.5
135,220.0
136,218.800003
137,224.399994
138,226.699997
139,228.100006
140,218.100006
141,211.699997
142,208.0
143,211.100006
144,208.300003
145,199.5
146,202.699997
147,206.899994
148,202.800003
149,204.699997
150,200.699997
151,196.800003
152,194.5
153,193.5
154,195.300003
155,196.699997
156,202.199997
157,205.100006
158,210.699997
159,203.399994
160,205.5
161,211.300003
162,213.5
163,213.800003
164,217.199997
165,218.100006
166,213.600006
167,211.800003
168,230.5
169,240.100006
170,246.399994
171,240.300003
172,233.5
173,230.800003
174,227.399994
175,223.300003
176,227.0
177,237.0
178,230.5
179,230.5
180,235.5
181,235.600006
182,242.699997
183,240.800003
184,244.899994
185,254.899994
186,264.899994
187,262.799988
188,268.700012
189,261.100006
190,270.700012
191,279.700012
192,279.799988
193,269.799988
194,279.799988
195,283.600006
196,279.600006
197,285.5
198,288.399994
199,287.299988
200,298.299988
201,302.5
202,308.0
203,312.299988
204,314.700012
205,306.200012
206,309.700012
207,319.0
208,335.0
209,324.200012
210,340.5
211,350.5
212,363.0
213,372.0
214,362.0
215,352.0
216,348.0
217,341.0
218,332.299988
219,322.299988
220,319.700012
221,329.700012
222,339.700012
223,324.700012
224,314.700012
225,311.5
226,315.5
227,309.899994
228,319.899994
229,329.899994
230,334.5
231,324.5
232,317.600006
233,307.899994
234,300.200012
235,303.0
236,297.299988
237,288.299988
238,291.700012
239,293.799988
240,298.0
241,293.299988
242,284.0
243,274.899994
244,271.299988
245,273.700012
246,280.200012
247,283.0
248,292.899994
249,292.100006
250,274.0
251,297.0
252,295.299988
253,291.0
254,291.399994
255,294.399994
256,293.5
257,290.799988
258,291.5
259,289.899994
260,299.899994
261,306.600006
262,314.100006
263,323.399994
264,318.5
265,320.0
266,329.299988
267,327.100006
268,326.5
269,328.5
270,331.5
271,340.200012
272,336.0
273,326.0
274,321.600006
275,313.299988
276,308.0
277,308.200012
278,302.100006
279,303.200012
280,306.5
281,310.100006
282,314.100006
283,312.600006
284,314.5
285,318.399994
286,318.200012
287,306.200012
288,291.799988
289,308.0
290,307.799988
291,307.799988
292,307.799988
293,318.0
294,307.5
295,280.600006
296,281.5
297,275.5
298,265.5
299,255.800003
300,261.700012
301,251.699997
302,242.600006
303,238.699997
304,242.5
305,245.800003
306,236.0
307,242.0
308,247.300003
309,244.399994
310,240.5
311,231.600006
312,230.800003
313,235.199997
314,225.300003
315,219.5
316,217.0
317,219.399994
318,223.199997
319,219.600006
320,218.5
321,214.800003
322,223.5
323,223.0
324,228.399994
325,227.600006
326,227.600006
327,225.0
328,221.300003
329,225.699997
330,229.300003
331,236.899994
332,238.600006
333,230.100006
334,230.100006
335,233.899994
336,236.0
337,228.100006
338,230.800003
339,231.199997
340,229.399994
341,227.800003
342,223.800003
343,226.100006
344,222.300003
345,221.800003
346,226.399994
347,227.0
348,222.899994
349,218.300003
350,217.800003
351,224.5
352,234.5
353,239.0
354,233.600006
355,229.100006
356,223.600006
357,227.199997
358,237.199997
359,240.300003
360,250.300003
361,243.899994
362,247.0
363,257.0
364,267.0
365,259.799988
366,260.5
367,254.0
368,245.100006
369,244.100006
370,245.899994
371,241.699997
372,240.399994
373,241.199997
374,241.5
375,242.399994
376,238.5
377,233.5
378,240.0
379,262.0
380,262.399994
381,262.700012
382,272.700012
383,270.399994
384,278.200012
385,288.0
386,284.700012
387,280.799988
388,271.299988
389,268.700012
390,273.5
391,268.799988
392,263.200012
393,269.5
394,267.5
395,277.5
396,284.700012
397,292.700012
398,288.200012
399,298.200012
400,292.399994
401,283.200012
402,286.200012
403,282.799988
404,283.0
405,293.0
406,301.0
407,302.0
408,311.0
409,301.600006
410,303.0
411,300.200012
412,301.299988
413,306.5
414,314.899994
415,309.899994
416,305.899994
417,297.5
418,297.5
419,290.0
420,306.600006
421,309.600006
422,314.0
423,324.0
424,314.0
425,304.0
426,299.899994
427,293.299988
428,295.200012
429,295.700012
430,292.600006
431,302.600006
432,298.700012
433,299.5
434,296.799988
435,304.700012
436,298.399994
437,291.799988
438,285.899994
439,275.899994
440,270.399994
441,270.200012
442,273.5
443,277.5
444,278.600006
445,284.299988
446,280.799988
447,280.700012
448,290.700012
449,292.5
450,286.299988
451,288.100006
452,291.0
453,301.899994
454,306.899994
455,304.5
456,308.0
457,301.5
458,307.5
459,301.0
460,300.200012
461,294.5
462,287.799988
463,285.799988
464,287.5
465,284.5
466,287.600006
467,277.600006
468,275.5
469,273.799988
470,278.799988
471,278.399994
472,281.0
473,276.100006
474,266.100006
475,262.0
476,266.100006
477,259.799988
478,262.0
479,262.5
480,259.799988
481,264.399994
482,265.200012
483,267.799988
484,272.5
485,268.5
486,276.200012
487,278.899994
488,282.0
489,285.700012
490,283.200012
491,284.0
492,287.5
493,284.299988
494,276.799988
495,274.5
496,279.399994
497,281.899994
498,279.700012
499,278.200012
500,274.299988
501,271.0
502,261.100006
503,256.0
504,259.200012
505,261.899994
506,256.600006
507,250.300003
508,253.5
509,248.5
510,250.899994
511,252.5
512,253.300003
513,251.399994
514,258.100006
515,260.5
516,260.200012
517,251.5
518,244.800003
519,244.199997
520,246.699997
521,244.199997
522,241.0
523,246.199997
524,242.699997
525,245.199997
526,245.100006
527,248.600006
528,245.899994
529,252.399994
530,248.699997
531,248.5
532,247.399994
533,241.300003
534,238.100006
535,233.800003
536,228.300003
537,229.0
538,229.199997
539,220.399994
540,224.600006
541,229.5
542,233.699997
543,225.0
544,222.699997
545,216.0
546,223.600006
547,220.800003
548,223.699997
549,216.399994
550,221.699997
551,223.5
552,218.800003
553,218.199997
554,221.699997
555,224.399994
556,218.600006
557,222.5
558,226.899994
559,230.300003
560,230.0
561,228.600006
562,222.0
563,224.600006
564,230.100006
565,235.0
566,233.899994
567,237.899994
568,232.800003
569,235.899994
570,234.0
571,227.0
572,228.5
573,226.300003
574,224.699997
575,225.0
576,223.5
577,220.300003
578,218.5
579,222.800003
580,221.0
581,223.600006
582,221.5
583,223.300003
584,219.800003
585,217.399994
586,210.399994
587,209.0
588,204.300003
589,203.899994
590,200.5
591,228.300003
592,228.5
593,229.100006
594,227.800003
595,234.899994
596,234.300003
597,234.800003
598,236.399994
599,236.5
600,242.5
601,240.899994
602,237.899994
603,236.300003
604,239.199997
605,244.199997
606,241.199997
607,238.699997
608,240.699997
609,240.0
610,234.0
611,224.0
612,220.899994
613,216.800003
614,216.199997
615,215.399994
616,215.399994
617,213.5
618,216.300003
619,221.0
620,217.699997
621,217.0
622,219.399994
623,220.699997
624,221.399994
625,225.199997
626,226.800003
627,233.899994
628,231.800003
629,226.199997
630,223.600006
631,242.399994
632,239.100006
633,239.100006
634,234.199997
635,234.600006
636,244.600006
637,245.0
638,245.800003
639,253.899994
640,263.899994
641,273.899994
642,273.600006
643,268.299988
644,278.299988
645,277.299988
646,276.100006
647,283.5
648,286.299988
649,276.299988
650,266.299988
651,265.600006
652,263.899994
653,258.0
654,259.399994
655,257.600006
656,263.399994
657,258.200012
658,252.100006
659,248.300003
660,238.300003
661,232.600006
662,232.899994
663,237.399994
664,234.100006
665,228.899994
666,228.0
667,224.100006
668,225.300003
669,228.100006
670,236.0
671,235.0
672,246.800003
673,246.0
