epoch,loss,lr,mean_absolute_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,0.15804396725836253,0.001,0.34443504,0.39754742,0.010119876824319363,0.08645804,0.1005976
1,0.0388253595806709,0.001,0.16107377,0.19704151,0.05927654728293419,0.23620899,0.24346775
2,0.032996709991981385,0.001,0.15447022,0.18164997,0.004203760530799627,0.05209402,0.06483641
3,0.02372466191193279,0.001,0.120574564,0.15402812,0.0035171459894627333,0.048786525,0.05930553
4,0.02821528969370589,0.001,0.13155743,0.16797407,0.003383256960660219,0.04656589,0.05816577
5,0.016260229193028948,0.001,0.10405695,0.12751561,0.01594884693622589,0.11527812,0.12628874
6,0.017980557140343044,0.001,0.11323066,0.1340916,0.018440663814544678,0.12500565,0.13579641
7,0.015078911196668538,0.001,0.10287822,0.12279622,0.005844696890562773,0.06399672,0.076450616
8,0.012966091806689898,0.001,0.09242444,0.11386874,0.003072688588872552,0.0452125,0.05543184
9,0.013218496309048465,0.001,0.09169625,0.11497172,0.00381997087970376,0.050225038,0.06180591
10,0.010248188977288146,0.001,0.082777165,0.10123334,0.0068000429309904575,0.07059702,0.08246237
11,0.010772032390798436,0.001,0.085610725,0.103788406,0.0055448436178267,0.062473517,0.07446371
12,0.009551279255676837,0.001,0.07956923,0.097730644,0.0031641891691833735,0.0457427,0.056251127
13,0.009770645706781319,0.001,0.07793832,0.09884658,0.0032176983077079058,0.045723636,0.05672476
14,0.009270343190806657,0.001,0.07669566,0.09628262,0.003781640436500311,0.05006023,0.061495043
15,0.009505757294139083,0.001,0.07827289,0.09749747,0.00382560258731246,0.05038198,0.061851457
16,0.009146558470567879,0.001,0.076641895,0.09563764,0.0032765695359557867,0.045997746,0.057241328
17,0.009204235209190116,0.001,0.07622019,0.095938705,0.0032427585683763027,0.04601302,0.056945223
18,0.008907497055879255,0.001,0.07563554,0.09437954,0.003721758723258972,0.049678426,0.06100622
19,0.008909161338189833,0.001,0.07645076,0.09438835,0.003719162195920944,0.04967536,0.060984936
20,0.00867473865878217,0.001,0.07547944,0.09313827,0.003254755400121212,0.04641589,0.057050463
21,0.008771151039419936,0.001,0.0751741,0.09365442,0.0033241647761315107,0.046903323,0.05765557
22,0.008642740837824183,0.001,0.07551679,0.09296634,0.003936123102903366,0.05134627,0.06273853
23,0.008571171467857701,0.001,0.075612985,0.092580624,0.0035104670096188784,0.048236627,0.059249192
24,0.008430605291762726,0.001,0.07446968,0.09181833,0.0033003019634634256,0.046728905,0.057448253
25,0.008365351244249718,0.001,0.07397476,0.09146229,0.003451633034273982,0.04782074,0.0587506
26,0.008261296805627897,0.001,0.07392262,0.090891674,0.0035233376547694206,0.048358187,0.05935771
27,0.008169544735277185,0.001,0.073353596,0.09038553,0.003259126329794526,0.046436068,0.05708876
28,0.00806634092994896,0.001,0.07255174,0.089812815,0.0031979340128600597,0.04600633,0.05655028
29,0.007945613019472482,0.001,0.07204575,0.08913817,0.0033400668762624264,0.047056556,0.05779331
30,0.007878962551325966,0.001,0.07215557,0.08876352,0.003244785126298666,0.046405677,0.056963015
31,0.007710677071088025,0.001,0.07088513,0.08781046,0.0030440641567111015,0.044888087,0.05517304
32,0.00758181784023233,0.001,0.07062591,0.08707363,0.0033918193075805902,0.04743969,0.05823933
33,0.007403797677204925,0.001,0.06998998,0.086045325,0.003030702006071806,0.044852685,0.05505181
34,0.007244204012613718,0.001,0.06892691,0.085112885,0.0032191150821745396,0.04620456,0.056737244
35,0.007026553148923277,0.001,0.068146154,0.08382454,0.002923321910202503,0.04404377,0.054067753
36,0.006819728912696952,0.001,0.06684846,0.08258165,0.003424588358029723,0.047707744,0.05851998
37,0.006608329623380081,0.001,0.06604841,0.08129163,0.0029963089618831873,0.04444411,0.05473855
38,0.006348046369622557,0.001,0.064623855,0.079674624,0.003425252391025424,0.0478479,0.058525655
39,0.006242090277373791,0.001,0.064221546,0.0790069,0.0033165360800921917,0.04696783,0.057589374
40,0.00619761649721942,0.001,0.063660875,0.07872494,0.0036570329684764147,0.04966942,0.06047341
41,0.006126078015484778,0.001,0.06366957,0.078269266,0.002904120134189725,0.04371464,0.05388989
42,0.005890545168524088,0.001,0.062199827,0.07674989,0.002648397581651807,0.04153333,0.051462583
43,0.006046775800055589,0.001,0.062800765,0.07776102,0.002931288443505764,0.043983534,0.054141376
44,0.0059521094674155825,0.001,0.062379938,0.07714991,0.003964131698012352,0.052211907,0.06296135
45,0.006223168708764168,0.001,0.063635804,0.07888706,0.0028212752658873796,0.043162994,0.053115677
46,0.005997781748851749,0.001,0.06289706,0.07744534,0.00247148796916008,0.039727177,0.049714062
47,0.00620389095805332,0.001,0.06314537,0.07876478,0.0032346064690500498,0.046729095,0.0568736
48,0.005752849958355532,0.001,0.06124631,0.075847544,0.0027568682562559843,0.04274237,0.052505888
49,0.005510024476137494,0.001,0.06016766,0.07422954,0.002844950184226036,0.043534275,0.053338073
50,0.005470305327706191,0.001,0.05982364,0.07396151,0.002726120175793767,0.042517163,0.05221226
51,0.005431218390181965,0.001,0.059654392,0.0736968,0.0029293515253812075,0.04429396,0.054123484
52,0.005410916692114809,0.001,0.05959452,0.073558934,0.0024569318629801273,0.04009195,0.049567446
53,0.005547708357196478,0.001,0.060068194,0.07448294,0.0027644706424325705,0.042890538,0.052578233
54,0.005410678597281174,0.001,0.05939086,0.07355731,0.0029669483192265034,0.04467956,0.0544697
55,0.00538342719023325,0.001,0.05957663,0.07337184,0.0023946345318108797,0.039504666,0.048935004
56,0.005587649643801305,0.001,0.06054507,0.07475059,0.0026304905768483877,0.0417492,0.051288307
57,0.005381704868153245,0.001,0.05915014,0.0733601,0.0031618091743439436,0.046401985,0.056229968
58,0.005418324183520614,0.001,0.059522822,0.07360926,0.0023988853208720684,0.039656773,0.048978418
59,0.005573146821943676,0.001,0.06020762,0.074653514,0.002388452412560582,0.039576802,0.048871797
60,0.00537677593212448,0.001,0.05905686,0.0733265,0.0032801912166178226,0.04743361,0.057272952
61,0.005347502692190765,0.001,0.059198186,0.07312662,0.0022795596159994602,0.038182303,0.047744732
62,0.005527494014652611,0.001,0.060126863,0.074347116,0.0029612446669489145,0.04485055,0.05441732
63,0.005153336344907681,0.001,0.05870777,0.07178674,0.002380919409915805,0.039642718,0.048794664
64,0.005140407264334004,0.001,0.058208086,0.07169663,0.002459254814311862,0.040415138,0.049590874
65,0.004930556239877023,0.001,0.0566706,0.07021792,0.0026523720007389784,0.042247154,0.051501185
66,0.004926877307901982,0.001,0.05695397,0.07019172,0.00229601189494133,0.038911767,0.047916718
67,0.004887048045464722,0.001,0.056350682,0.06990743,0.0028622946701943874,0.044139422,0.053500418
68,0.004918151912057684,0.001,0.05678624,0.070129536,0.002238903194665909,0.03831581,0.04731705
69,0.004720069219668706,0.001,0.055617675,0.068702765,0.0028233970515429974,0.043836113,0.05313565
70,0.004832368989658802,0.001,0.056657087,0.06951524,0.0022076675668358803,0.038062144,0.046985824
71,0.004870350608842916,0.001,0.056776673,0.0697879,0.0023606850299984217,0.03972258,0.048586883
72,0.0047442873084575544,0.001,0.055461656,0.06887879,0.002618350787088275,0.04209527,0.051169824
73,0.004596359289701091,0.001,0.05469567,0.067796454,0.002185381716117263,0.038052857,0.04674807
74,0.004491845906084898,0.001,0.054171115,0.067021236,0.002633979544043541,0.04228554,0.05132231
75,0.004510573738058205,0.001,0.05428739,0.06716081,0.0022319278214126825,0.038691465,0.047243282
76,0.004473647608922249,0.001,0.054255303,0.06688533,0.0021517088171094656,0.03781035,0.046386514
77,0.0043481572268239295,0.001,0.0531648,0.06594056,0.0025719269178807735,0.041786388,0.05071417
78,0.004374854188716533,0.001,0.053378355,0.06614268,0.0020936676301062107,0.037318114,0.045756612
79,0.00421423610603931,0.001,0.052659772,0.06491715,0.002352882642298937,0.039959088,0.04850652
80,0.0041419777911485866,0.001,0.052204024,0.0643582,0.0021170300897210836,0.037714973,0.046011195
81,0.004082051421940124,0.001,0.05174195,0.063890934,0.0021573896519839764,0.038162373,0.04644771
82,0.004009580600778668,0.001,0.05126425,0.06332125,0.0021624669898301363,0.038224787,0.046502333
83,0.004003490039407193,0.001,0.051307898,0.06327314,0.0019420292228460312,0.03582836,0.04406846
84,0.003981126832211909,0.001,0.05113093,0.06309617,0.0022750103380531073,0.03940933,0.047697067
85,0.003938372037848648,0.001,0.050899137,0.06275645,0.0020901579409837723,0.03763839,0.045718245
86,0.003776070035259132,0.001,0.04993175,0.061449736,0.0018848967738449574,0.03539118,0.043415397
87,0.003753596463170992,0.001,0.049434066,0.0612666,0.0020567039027810097,0.037374385,0.045350898
88,0.0037254316336316927,0.001,0.049332444,0.06103631,0.0020317225717008114,0.03714852,0.045074634
89,0.003629376314466401,0.001,0.04898377,0.060244303,0.0017805935349315405,0.034317046,0.04219708
90,0.0036721177133066316,0.001,0.048741985,0.060598,0.002004730049520731,0.036986265,0.044774212
91,0.0036390808863932785,0.001,0.04860319,0.060324796,0.002093754941597581,0.03785261,0.045757566
92,0.003670170452116298,0.001,0.048783593,0.06058193,0.0017983783036470413,0.034737416,0.04240729
93,0.003553619119180303,0.001,0.048114326,0.05961224,0.0017072678310796618,0.033249613,0.0413191
94,0.0035920931308270516,0.001,0.04783801,0.059934076,0.0017517072847113013,0.034270823,0.0418534
95,0.0033823339569502746,0.001,0.046650194,0.058157835,0.001959807937964797,0.036592353,0.04426972
96,0.003398901542813397,0.001,0.046952933,0.058300097,0.0016648225719109178,0.033115212,0.040802237
97,0.003336380624852213,0.001,0.046392668,0.057761412,0.0017313704593107104,0.03413887,0.04160974
98,0.0033400330730542845,0.001,0.046105552,0.05779302,0.001747902948409319,0.03435717,0.04180793
99,0.003251613419642355,0.001,0.04551045,0.05702292,0.001728271716274321,0.034156468,0.04157249
100,0.003200163889587635,0.001,0.045130007,0.05656999,0.0016578038921579719,0.033330824,0.040716138
101,0.0032064173316747762,0.001,0.04527318,0.056625236,0.0016714335652068257,0.03354825,0.04088317
102,0.00327291538603097,0.001,0.04564924,0.0572094,0.0016905524535104632,0.03380725,0.041116327
103,0.003169698123408317,0.001,0.04479664,0.056300074,0.0017689665546640754,0.034725618,0.042059083
104,0.003106447741021814,0.001,0.044892583,0.055735517,0.0015692152082920074,0.032217793,0.03961332
