epoch,loss,lr,mean_absolute_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,0.16643704046698882,0.001,0.35699162,0.40796697,0.004748203791677952,0.0553529,0.06890721
1,0.03940029996697621,0.001,0.16294397,0.19849509,0.03987954929471016,0.18956232,0.19969864
2,0.022340758577469855,0.001,0.12399302,0.14946824,0.00306888110935688,0.046377875,0.055397484
3,0.029665209231464238,0.001,0.13512437,0.1722359,0.0030899944249540567,0.046332635,0.05558772
4,0.02394016000799381,0.001,0.121408835,0.15472607,0.008743817918002605,0.08097365,0.093508385
5,0.016475584348630307,0.001,0.10656758,0.12835725,0.026112888008356094,0.15110482,0.16159482
6,0.019873514938365176,0.001,0.11874541,0.14097345,0.013153319247066975,0.10294976,0.11468792
7,0.013706580176949501,0.001,0.09656444,0.1170751,0.004168427083641291,0.052305225,0.06456336
8,0.01599290439705481,0.001,0.100684226,0.12646306,0.0037182667292654514,0.049670316,0.060977593
9,0.013464375367007588,0.001,0.093163855,0.116036095,0.0073923515155911446,0.07360294,0.08597878
10,0.012026997616908456,0.001,0.09140338,0.10966767,0.010825781151652336,0.09226019,0.104047015
11,0.01197777488819694,0.001,0.09076571,0.109443024,0.005230437032878399,0.06006776,0.07232176
12,0.010457795204120724,0.001,0.0825412,0.10226337,0.0032832506112754345,0.047386657,0.057299655
13,0.010568495555430331,0.001,0.08160783,0.10280319,0.0038250265643000603,0.05109906,0.0618468
14,0.009501548564749166,0.001,0.07916552,0.09747589,0.0049639176577329636,0.058525454,0.070455074
15,0.009945471472637628,0.001,0.080960795,0.09972699,0.0037214832846075296,0.05030734,0.06100396
16,0.00944828771882587,0.001,0.077800095,0.0972023,0.0032604525331407785,0.046634827,0.057100374
17,0.009548713386352558,0.001,0.07773746,0.097717516,0.0035237541887909174,0.048768133,0.05936122
18,0.009262932227477164,0.001,0.07750572,0.09624413,0.003780511673539877,0.050543655,0.061485864
19,0.008992062831517829,0.001,0.07650116,0.09482649,0.0032761727925390005,0.046903502,0.05723786
20,0.00883403649573685,0.001,0.075322516,0.09398956,0.0034352608490735292,0.048038635,0.0586111
21,0.008620396165651233,0.001,0.0750754,0.09284608,0.003916493151336908,0.051468734,0.06258189
22,0.008466457596255673,0.001,0.074609116,0.09201335,0.003462198656052351,0.04815623,0.05884045
23,0.008262582264146284,0.001,0.07341912,0.090898745,0.003592983353883028,0.049138933,0.0599415
24,0.008046459779143334,0.001,0.07274115,0.08970206,0.003743252716958523,0.050213754,0.061182126
25,0.007854264013896493,0.001,0.07201315,0.08862428,0.0034412522800266743,0.0479345,0.058662187
26,0.007646546231108754,0.001,0.0706488,0.08744453,0.003429240779951215,0.04779933,0.05855972
27,0.007414608636677372,0.001,0.06955399,0.086108126,0.0034165866672992706,0.047708277,0.058451574
28,0.007210810192757182,0.001,0.06866147,0.08491649,0.003267755964770913,0.04655855,0.05716429
29,0.007041327718071186,0.001,0.06746707,0.08391262,0.0032293174881488085,0.046304476,0.056827083
30,0.006895223355728558,0.001,0.06706611,0.08303749,0.0031899064779281616,0.046113286,0.056479257
31,0.006750976791318279,0.001,0.06597484,0.082164325,0.0034281802363693714,0.048097707,0.058550663
32,0.00657399293088678,0.001,0.06533908,0.08108016,0.0029253989923745394,0.0440456,0.054086957
33,0.006705209987712056,0.001,0.06609922,0.081885345,0.004131108522415161,0.053671923,0.0642737
34,0.00656740812911889,0.001,0.06528513,0.08103955,0.0029769029933959246,0.044551264,0.054561004
35,0.006261353057184955,0.001,0.063796885,0.07912871,0.003325033001601696,0.04756028,0.057663098
36,0.006008418437467361,0.001,0.06267323,0.077513985,0.002983727026730776,0.04460046,0.054623503
37,0.005892224964021461,0.001,0.061963633,0.07676083,0.003345680423080921,0.04775198,0.057841856
38,0.00581193095620548,0.001,0.061596096,0.07623602,0.002866356400772929,0.04361298,0.053538363
39,0.005681494774303556,0.001,0.060796205,0.07537569,0.0032258855644613504,0.04686791,0.05679688
40,0.00559467109801468,0.001,0.060543876,0.07479753,0.0028915435541421175,0.04395726,0.053773075
41,0.005506358593101463,0.001,0.05993672,0.07420484,0.00294775259681046,0.044516075,0.054293208
42,0.005382059267838903,0.001,0.059311524,0.07336252,0.00284786825068295,0.04368063,0.05336542
43,0.005290353884686813,0.001,0.058809362,0.07273482,0.0028862764593213797,0.044082798,0.053724077
44,0.005201291650079698,0.001,0.058348,0.07211998,0.002724232617765665,0.04266964,0.05219418
45,0.005113696164408144,0.001,0.057728205,0.071510114,0.0027302498929202557,0.042798795,0.052251793
46,0.00503954699189539,0.001,0.057449352,0.070989765,0.0024996374268084764,0.040739324,0.049996372
47,0.005054267474840725,0.001,0.05728293,0.07109337,0.0026205198373645544,0.041947722,0.051191013
48,0.004878493612064683,0.001,0.05645059,0.06984621,0.002554366597905755,0.041419055,0.05054074
49,0.004806277276380622,0.001,0.05600952,0.06932732,0.0026610251516103745,0.04243169,0.051585127
50,0.004775807111253662,0.001,0.055834256,0.06910721,0.0025213253684341908,0.041221317,0.0502128
51,0.004679176687366433,0.001,0.055465057,0.0684045,0.0023046245332807302,0.039187867,0.048006505
52,0.004613189996757601,0.001,0.05470096,0.06792047,0.0026682019233703613,0.04261204,0.05165464
53,0.0046171698161804765,0.001,0.055131853,0.06794976,0.002148751402273774,0.03759557,0.046354625
54,0.0049917442884336236,0.001,0.05701804,0.07065228,0.002101896097883582,0.037038065,0.04584644
55,0.004788976194717551,0.001,0.05514377,0.06920243,0.0028920387849211693,0.04452443,0.05377768
56,0.004567941750890465,0.001,0.054512642,0.06758655,0.002033933298662305,0.036511283,0.04509915
57,0.004551218074202324,0.001,0.053973444,0.06746271,0.002507647266611457,0.04142071,0.050076414
58,0.004369788672474603,0.001,0.0530413,0.066104375,0.002228580182418227,0.038919885,0.04720784
