epoch,loss,lr,mean_absolute_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,0.04976701029250777,0.001,0.1988877,0.2230852,0.03189408406615257,0.15025243,0.17858915
1,0.01007447201535798,0.001,0.08697008,0.100371666,0.020496651530265808,0.111454755,0.14316651
2,0.0054733808283260335,0.001,0.060249183,0.0739823,0.05848969891667366,0.21505755,0.24184644
3,0.006901508625531861,0.001,0.06779883,0.08307532,0.026173485442996025,0.12917215,0.16178222
4,0.004360305530459347,0.001,0.0532753,0.0660326,0.012149843387305737,0.08097216,0.110226326
5,0.0044383174652162325,0.001,0.053458698,0.0666207,0.025699647143483162,0.13022734,0.16031109
6,0.0037940963075153364,0.001,0.05037104,0.061596237,0.027979273349046707,0.13999899,0.16727006
7,0.0031639200423786828,0.001,0.045791775,0.056248732,0.011003455147147179,0.079430446,0.10489736
8,0.0027309268849288544,0.001,0.041201096,0.05225827,0.008498230017721653,0.069719866,0.09218585
9,0.002114137371517415,0.001,0.036571573,0.04597975,0.01148578803986311,0.08612214,0.10717177
10,0.0019913540119261986,0.001,0.03564139,0.044624593,0.0037370191421359777,0.046844296,0.061131164
11,0.0018674145603031092,0.001,0.0333826,0.043213595,0.003543202066794038,0.04622487,0.0595248
12,0.0018247572193246736,0.001,0.033600405,0.042717177,0.003815982723608613,0.048133902,0.06177364
13,0.0018171162301789143,0.001,0.03311436,0.042627648,0.0025666241999715567,0.04058005,0.050661862
14,0.0017593896033244508,0.001,0.032769084,0.041945077,0.0045031276531517506,0.05201988,0.067105345
15,0.00170907580970303,0.001,0.032323405,0.04134097,0.0034989104606211185,0.04585491,0.05915159
16,0.0016489333304675008,0.001,0.031665385,0.04060706,0.005208018701523542,0.055689175,0.07216661
17,0.0016524025139536245,0.001,0.032005757,0.040649753,0.004337736871093512,0.05078651,0.0658615
18,0.0016148751828728653,0.001,0.031561576,0.04018551,0.0046335854567587376,0.05258358,0.06807044
19,0.001602185845594641,0.001,0.031526905,0.040027313,0.0038370750844478607,0.04815423,0.061944127
20,0.0015802175561333903,0.001,0.031102741,0.03975195,0.003577735973522067,0.046806198,0.059814177
21,0.0015580982417917435,0.001,0.031036267,0.03947275,0.003523883642628789,0.04664674,0.059362307
22,0.0015376211129427475,0.001,0.030650722,0.039212514,0.0031294047366827726,0.044336755,0.055941083
23,0.0015185329966835514,0.001,0.030606769,0.038968362,0.0033701900392770767,0.045929886,0.058053337
24,0.0014866538314445162,0.001,0.030219726,0.03855715,0.0028266552835702896,0.042563096,0.0531663
25,0.0014746723154129226,0.001,0.030064821,0.038401462,0.0035266734194010496,0.047022033,0.059385803
26,0.0014483068333332979,0.001,0.029953543,0.038056627,0.002711943117901683,0.041969094,0.05207632
27,0.0014280754926535501,0.001,0.029695172,0.037789885,0.004080725833773613,0.050531246,0.06388056
28,0.0014584643603221413,0.001,0.030085286,0.038189847,0.002380303805693984,0.039927125,0.048788358
29,0.0013975078443121533,0.001,0.029372254,0.037383255,0.0034690946340560913,0.047028124,0.05889902
30,0.0013736009257861806,0.001,0.029172337,0.037062123,0.0025582939852029085,0.04134299,0.05057958
31,0.001359439733774595,0.001,0.029020218,0.03687058,0.002516224980354309,0.041131355,0.050161988
32,0.0013422874474744383,0.001,0.028977416,0.036637243,0.004375597927719355,0.05253626,0.0661483
33,0.0013668121418209354,0.001,0.029230345,0.03697042,0.0023315749131143093,0.039870888,0.048286386
34,0.0013005654781875087,0.001,0.02839188,0.036063354,0.003412111196666956,0.046760626,0.05841328
35,0.0013057236312526202,0.001,0.028467577,0.036134798,0.0033980756998062134,0.046699136,0.058293015
