epoch,loss,lr,mean_absolute_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,0.08240851014852524,0.001,0.23866603,0.2870688,0.050308115780353546,0.20302805,0.2242947
1,0.06072041764855385,0.001,0.19562103,0.24641514,0.02848823182284832,0.14461978,0.16878457
2,0.0384996198117733,0.001,0.14338297,0.1962132,0.009286570362746716,0.07462774,0.09636685
3,0.01895458623766899,0.001,0.104471445,0.13767566,0.010988264344632626,0.09049258,0.10482492
4,0.02042628452181816,0.001,0.123392284,0.14292055,0.019091546535491943,0.122567415,0.13817216
5,0.028156058862805367,0.001,0.14643201,0.16779767,0.010585109703242779,0.08848724,0.102883965
6,0.019587760791182518,0.001,0.12104805,0.13995628,0.0054475897923111916,0.06328543,0.07380779
7,0.014474851079285145,0.001,0.102122515,0.12031148,0.006274057552218437,0.06292938,0.07920895
8,0.015332319773733616,0.001,0.09980081,0.12382375,0.008799505420029163,0.07310549,0.09380568
9,0.017864016816020012,0.001,0.1023544,0.13365634,0.01027274876832962,0.07927936,0.10135457
10,0.01929716020822525,0.001,0.1040509,0.13891421,0.010059528052806854,0.07843183,0.1002972
11,0.018991468474268913,0.001,0.10346183,0.13780953,0.00857706181704998,0.07225084,0.09261243
12,0.01736634038388729,0.001,0.10105792,0.13178141,0.006644782144576311,0.06416247,0.081515536
13,0.015246124006807804,0.001,0.0980734,0.123475194,0.005206885747611523,0.05942487,0.072158754
14,0.013582449406385422,0.001,0.0961125,0.11654376,0.005036726128309965,0.06084972,0.070969895
15,0.013162629678845406,0.001,0.09711809,0.1147285,0.0061382269486784935,0.06657098,0.07834684
16,0.014018043875694275,0.001,0.101064615,0.11839782,0.007272062357515097,0.07246354,0.08527639
17,0.014948229305446148,0.001,0.104385555,0.122262955,0.00708037381991744,0.07145092,0.08414496
18,0.014615176245570183,0.001,0.10295453,0.12089324,0.005807989742606878,0.06451514,0.07621017
19,0.01324543822556734,0.001,0.09721413,0.11508883,0.0046715326607227325,0.058333576,0.06834861
20,0.012024367228150368,0.001,0.091815636,0.10965568,0.004351578652858734,0.055416644,0.065966494
21,0.011608948931097984,0.001,0.08865955,0.107744835,0.004679224919527769,0.05570486,0.06840486
22,0.011815919540822506,0.001,0.087311335,0.10870106,0.005126791074872017,0.057238035,0.071601614
23,0.012110503390431404,0.001,0.08656368,0.110047735,0.005261281039565802,0.05762142,0.07253469
24,0.012060461565852165,0.001,0.08550877,0.109820135,0.00493729580193758,0.056203026,0.0702659
25,0.011531266383826733,0.001,0.08371923,0.107383735,0.0043181851506233215,0.053616673,0.0657129
26,0.010709751397371292,0.001,0.081548,0.10348793,0.003787156194448471,0.051925287,0.061539873
27,0.01001412607729435,0.001,0.08000976,0.1000706,0.003705146722495556,0.05169864,0.060869917
28,0.009837166406214237,0.001,0.079500504,0.099182494,0.004014835227280855,0.053704683,0.063362725
29,0.010111574083566666,0.001,0.08139315,0.10055632,0.004149855580180883,0.054585967,0.064419374
30,0.010189683176577091,0.001,0.08204545,0.10094396,0.0038072140887379646,0.052624043,0.061702628
31,0.009683767333626747,0.001,0.07909183,0.098406136,0.003450504969805479,0.05002189,0.058741
32,0.009067491628229618,0.001,0.07503074,0.095223375,0.003552040783688426,0.050081514,0.059599
33,0.00888749398291111,0.001,0.07335399,0.09427351,0.003962446935474873,0.051678255,0.06294797
34,0.009051480330526829,0.001,0.07328297,0.095139265,0.00419835839420557,0.05266191,0.06479474
35,0.009095525369048119,0.001,0.07298655,0.095370464,0.004000200890004635,0.05182233,0.063247144
36,0.008765412494540215,0.001,0.071958095,0.09362378,0.0035576941445469856,0.049905356,0.05964641
37,0.00825725682079792,0.001,0.07069824,0.09086945,0.0032907328568398952,0.048833095,0.05736491
38,0.007977801375091076,0.001,0.070726424,0.089318536,0.003339133458212018,0.049535487,0.057785235
39,0.007988308556377888,0.001,0.07222329,0.089377336,0.003370674094185233,0.049718596,0.058057506
40,0.007838470861315727,0.001,0.072171725,0.08853514,0.0032351443078368902,0.0486682,0.05687833
41,0.007371361367404461,0.001,0.069611594,0.08585663,0.003238291246816516,0.04814491,0.056905985
42,0.007021803874522448,0.001,0.06700039,0.0837962,0.0034614750184118748,0.049057253,0.058834303
43,0.0069731250405311584,0.001,0.06599274,0.08350524,0.003570480039343238,0.04961496,0.059753492
44,0.006885748356580734,0.001,0.0653566,0.08298041,0.003394019789993763,0.048617784,0.058258217
45,0.006539340130984783,0.001,0.06436514,0.08086619,0.003234075615182519,0.047730558,0.056868933
46,0.006213866174221039,0.001,0.06421893,0.07882808,0.0033652796410024166,0.0483462,0.05801103
47,0.006174393929541111,0.001,0.06545719,0.07857731,0.003497692057862878,0.049028862,0.05914129
48,0.006104712374508381,0.001,0.06558485,0.07813266,0.0034331949427723885,0.048072737,0.05859347
49,0.005841345060616732,0.001,0.063366145,0.07642869,0.0034949826076626778,0.04834406,0.05911838
50,0.005784104578197002,0.001,0.061994873,0.0760533,0.003635880770161748,0.049161557,0.060298264
51,0.005829660687595606,0.001,0.06202274,0.07635222,0.003623501630499959,0.04882738,0.060195528
52,0.005643047858029604,0.001,0.06166581,0.075120226,0.0037201009690761566,0.049330056,0.060992632
53,0.005540064070373774,0.001,0.06208919,0.074431606,0.0038981991820037365,0.050553937,0.06243556
54,0.005575845949351788,0.001,0.06258962,0.07467159,0.0038087894208729267,0.04994206,0.06171539
55,0.005397656466811895,0.001,0.061369997,0.073468745,0.0037389632780104876,0.049598865,0.061147064
56,0.005293586757034063,0.001,0.06069359,0.07275704,0.0037715109065175056,0.050080962,0.06141263
57,0.005280875135213137,0.001,0.060760446,0.07266963,0.0037249745801091194,0.049794126,0.06103257
58,0.005126459989696741,0.001,0.06004843,0.071599305,0.003734495025128126,0.049784996,0.061110515
