epoch,loss,lr,mean_absolute_error,root_mean_squared_error,val_loss,val_mean_absolute_error,val_root_mean_squared_error
0,0.06548485630405874,0.001,0.23368676,0.25590008,0.01110293623059988,0.09416582,0.10537047
1,0.01335679493820894,0.001,0.09528534,0.1155716,0.019739193841814995,0.13483262,0.14049624
2,0.01047486314334554,0.001,0.08637055,0.10234678,0.0020968401804566383,0.03868851,0.04579127
3,0.008040269420566347,0.001,0.07464281,0.08966755,0.0038385498337447643,0.05059968,0.061956033
4,0.008595094331960812,0.001,0.077392794,0.09270973,0.0018385339062660933,0.03619785,0.04287813
5,0.004610940214783756,0.001,0.056249198,0.067903906,0.006015479564666748,0.06762304,0.07755952
6,0.00613494791686771,0.001,0.062400226,0.078325905,0.0050671882927417755,0.06104703,0.07118419
7,0.004551195012621003,0.001,0.053978365,0.06746255,0.0018458744743838906,0.035222456,0.042963643
8,0.004349920704588885,0.001,0.054749154,0.06595393,0.0016844203928485513,0.034821235,0.04104169
9,0.004297245231865892,0.001,0.05444322,0.065553375,0.0016894908621907234,0.033392444,0.041103415
10,0.0031435114616401223,0.001,0.045143325,0.056067027,0.00286676362156868,0.044451237,0.053542167
11,0.0030659557332723105,0.001,0.04298493,0.055371072,0.0024947926867753267,0.04128682,0.0499479
12,0.0024728310176742553,0.001,0.03865158,0.049727567,0.0014180539874359965,0.030990072,0.037657056
13,0.002215832244551692,0.001,0.03737529,0.047072627,0.0013263503788039088,0.02989754,0.036419094
14,0.001938940107412105,0.001,0.0344323,0.0440334,0.0016048282850533724,0.033466563,0.040060308
15,0.0018889378939302146,0.001,0.032689434,0.04346191,0.0015874523669481277,0.03330945,0.039842844
16,0.0018165805782951567,0.001,0.032482967,0.042621363,0.0014295991277322173,0.030545946,0.03781004
17,0.0018898998590100634,0.001,0.033970833,0.04347298,0.0014363446971401572,0.030974275,0.03789914
18,0.0018019005104607168,0.001,0.032482054,0.042448796,0.0015255826292559505,0.03251546,0.039058708
19,0.0018099200234360248,0.001,0.03234194,0.042543154,0.0013840349856764078,0.030514259,0.03720262
20,0.00173662544048071,0.001,0.03217667,0.041672837,0.0013263968285173178,0.029650576,0.03641973
21,0.0016991131506910438,0.001,0.031872116,0.041220304,0.001422021072357893,0.03140826,0.037709694
22,0.001712327309044317,0.001,0.031347297,0.04138028,0.0013920818455517292,0.03106611,0.03731061
23,0.001661176022279435,0.001,0.031273,0.040757526,0.0012589874677360058,0.029052889,0.035482213
24,0.0016820760094745175,0.001,0.031897854,0.041013118,0.001325684250332415,0.03021896,0.036409948
25,0.001638921431196402,0.001,0.030984616,0.040483594,0.0014151650248095393,0.031570774,0.037618678
26,0.0016314615028734701,0.001,0.030785423,0.040391356,0.0012544047785922885,0.02912536,0.03541758
27,0.0016129732133064968,0.001,0.031189434,0.040161837,0.001235720468685031,0.028747054,0.035152815
28,0.0015878485292107718,0.001,0.030846845,0.039847817,0.0013274907832965255,0.030385435,0.036434747
29,0.0015816957754025416,0.001,0.030388577,0.03977054,0.0012746156426146626,0.02954279,0.03570176
30,0.001555020139049355,0.001,0.030377483,0.039433744,0.0012350602773949504,0.02884002,0.035143424
31,0.001535447365855252,0.001,0.030195318,0.039184786,0.001261135097593069,0.029424267,0.035512462
32,0.001523472300639137,0.001,0.030002862,0.039031684,0.0012152553535997868,0.028622786,0.034860514
33,0.0015043025932654076,0.001,0.029940546,0.03878534,0.001204381580464542,0.028527774,0.0347042
34,0.0014878298241199361,0.001,0.029765068,0.038572397,0.0011927569285035133,0.028439686,0.034536313
35,0.0014725441209788887,0.001,0.029662333,0.038373742,0.0011852463940158486,0.028415825,0.034427408
36,0.0014552391689896535,0.001,0.029449701,0.0381476,0.0011931892950087786,0.028727455,0.03454257
37,0.0014450509614412999,0.001,0.029291527,0.038013827,0.0011516507947817445,0.027949244,0.03393598
38,0.001431012246831543,0.001,0.029221857,0.037828725,0.0011177819687873125,0.027285887,0.033433247
