,0
0,188.800003
1,188.699997
2,184.699997
3,186.5
4,182.100006
5,178.0
6,169.399994
7,168.0
8,168.0
9,166.800003
10,186.399994
11,185.199997
12,187.0
13,189.0
14,181.5
15,191.5
16,188.0
17,197.0
18,207.0
19,203.0
20,197.100006
21,196.100006
22,204.0
23,207.0
24,203.100006
25,205.199997
26,197.100006
27,191.0
28,193.699997
29,196.0
30,195.899994
31,189.5
32,182.699997
33,181.399994
34,179.300003
35,183.899994
36,180.600006
37,178.0
38,178.199997
39,179.699997
40,179.800003
41,172.100006
42,176.800003
43,170.0
44,169.600006
45,172.800003
46,174.100006
47,175.800003
48,175.5
49,175.0
50,173.0
51,171.600006
52,172.5
53,175.100006
54,182.0
55,185.5
56,176.5
57,175.800003
58,174.699997
59,173.899994
60,169.100006
61,170.199997
62,168.199997
63,168.699997
64,171.699997
65,172.300003
66,172.699997
67,171.300003
68,167.899994
69,164.800003
70,163.600006
71,171.399994
72,170.100006
73,180.100006
74,180.399994
75,178.699997
76,178.100006
77,175.0
78,174.899994
79,174.5
80,174.5
81,175.600006
82,175.5
83,175.0
84,184.899994
85,186.899994
86,192.5
87,187.100006
88,188.300003
89,188.5
90,186.100006
91,185.0
92,187.5
93,187.600006
94,194.0
95,197.899994
96,229.5
97,239.5
98,230.5
99,229.100006
100,222.199997
101,226.300003
102,234.800003
103,235.0
104,246.199997
105,241.0
106,231.800003
107,228.5
108,224.5
109,219.0
110,214.0
111,213.199997
112,214.800003
113,214.0
114,214.0
115,212.800003
116,212.0
117,211.0
118,212.699997
119,209.5
120,209.699997
121,209.899994
122,209.600006
123,204.800003
124,203.5
125,205.0
126,201.0
127,201.300003
128,211.0
129,206.5
130,209.0
131,210.5
132,210.0
133,213.0
134,226.0
135,229.899994
136,253.800003
137,255.0
138,248.0
139,250.399994
140,252.5
141,247.100006
142,237.600006
143,238.699997
144,248.5
145,258.5
146,261.0
147,269.0
148,279.0
149,271.100006
150,271.5
151,270.0
152,261.600006
153,264.0
154,270.899994
155,270.0
156,272.0
157,270.0
158,268.299988
159,261.5
160,258.200012
161,254.0
162,253.600006
163,257.0
164,248.399994
165,252.100006
166,259.0
167,258.0
168,257.0
169,263.600006
170,273.799988
171,273.299988
172,271.399994
173,267.200012
174,259.0
175,272.399994
176,275.600006
177,281.5
178,288.200012
179,278.799988
180,277.100006
181,281.5
182,291.299988
183,290.0
184,280.0
185,277.200012
186,287.200012
187,287.0
188,296.0
189,293.0
190,290.100006
191,294.700012
192,296.5
193,294.700012
194,294.600006
195,299.5
196,305.0
